N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
232,KODEX 삼성그룹,"8,155","8,155",상승25,+0.31%,0,"11,050","135,500",13.61,"69,637",N/A,N/A
233,롯데웰푸드,"116,800","116,800","상승2,000",+1.74%,500,"11,020","9,435",12.87,"6,471",13.02,4.04
234,종근당,"78,700","78,700",보합0,0.00%,"2,500","10,863","13,803",15.06,"6,772",9.96,12.76
235,두산퓨얼셀,"16,410","16,410",상승400,+2.50%,100,"10,748","65,494",10.49,"138,069",-128.20,N/A
236,RISE CD금리액티브(합성),"103,790","103,790",보합0,0.00%,0,"10,712","10,321",0.00,978,N/A,N/A
237,롯데리츠,"3,630","3,630",상승30,+0.83%,500,"10,490","288,969",7.73,"102,228",88.54,0.95
238,다우기술,"23,300","23,300",상승650,+2.87%,500,"10,454","44,867",23.63,"129,077",2.94,13.16
239,LX인터내셔널,"26,950","26,950",상승100,+0.37%,"5,000","10,446","38,760",22.09,"38,113",5.95,7.12
240,가온전선,"62,900","62,900","하락1,000",-1.56%,"5,000","10,406","16,543",0.87,"43,382",19.39,6.46
241,한국카본,"19,970","19,970","하락1,080",-5.13%,500,"10,366","51,908",8.66,"312,671",51.07,4.38
242,LS에코에너지,"33,650","33,650",상승500,+1.51%,500,"10,305","30,625",3.95,"116,902",32.99,19.00
243,TIGER 차이나항셍테크,"8,225","8,225",상승195,+2.43%,0,"10,273","124,900",0.00,"2,183,449",N/A,N/A
244,TIGER CD1년금리액티브(합성),"1,043,730","1,043,730",상승85,+0.01%,0,"10,250",982,0.00,"6,569",N/A,N/A
245,효성티앤씨,"236,500","236,500",하락500,-0.21%,"5,000","10,235","4,328",17.85,"2,455",7.61,9.84
246,STX엔진,"25,150","25,150","하락1,150",-4.37%,"2,500","10,097","40,148",3.56,"310,526",25.56,10.15
247,한샘,"42,500","42,500",상승900,+2.16%,"1,000","10,002","23,534",13.85,"5,110",6.62,43.59
248,ESR켄달스퀘어리츠,"4,680","4,680",하락165,-3.41%,"1,000","9,973","213,089",42.50,"193,205",275.29,0.33
249,KODEX 25-12 은행채(AAA)액티브,"102,550","102,550",상승10,+0.01%,0,"9,905","9,659",0.00,110,N/A,N/A
250,하나 CD금리투자 ETN,"103,910","103,910",상승5,0.00%,0,"9,871","9,500",0.00,"34,861",N/A,N/A
