N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
54,대한항공,"22,475","22,475",상승425,+1.93%,"5,000","82,758","368,221",17.47,"701,970",6.30,13.17
55,한화시스템,"43,450","43,450","하락3,400",-7.26%,"5,000","82,085","188,919",7.57,"2,181,353",18.07,19.63
56,현대글로비스,"108,700","108,700","상승2,000",+1.87%,500,"81,525","75,000",49.32,"105,413",7.45,13.24
57,한미반도체,"82,900","82,900","상승5,500",+7.11%,100,"80,093","96,614",8.30,"1,279,160",52.70,27.43
58,TIGER 미국S&P500,"19,965","19,965",상승265,+1.35%,0,"79,251","396,950",0.06,"1,431,227",N/A,N/A
59,HD현대마린솔루션,"163,100","163,100","하락6,700",-3.95%,500,"73,116","44,829",29.06,"104,930",30.76,44.98
60,삼양식품,"964,000","964,000","하락29,000",-2.92%,"5,000","72,618","7,533",17.20,"24,954",26.70,39.37
61,아모레퍼시픽,"124,100","124,100","하락1,400",-1.12%,500,"72,590","58,493",23.90,"145,207",14.45,11.69
62,미래에셋증권,"12,660","12,660",상승780,+6.57%,"5,000","72,202","570,316",14.46,"1,400,438",10.30,7.94
63,LS ELECTRIC,"230,000","230,000","상승10,500",+4.78%,"5,000","69,000","30,000",22.64,"184,054",28.91,13.44
64,SK바이오팜,"87,600","87,600","하락2,800",-3.10%,500,"68,602","78,313",11.17,"264,896",28.50,58.01
65,코웨이,"92,300","92,300","상승3,000",+3.36%,500,"66,976","72,564",61.20,"101,344",12.04,19.38
66,HD현대미포,"165,400","165,400","하락6,500",-3.78%,"5,000","66,064","39,942",18.68,"261,121",62.60,5.25
67,DB손해보험,"91,800","91,800","상승1,600",+1.77%,500,"64,994","70,800",45.88,"104,906",3.51,18.98
68,HD현대,"80,000","80,000",상승600,+0.76%,"1,000","63,194","78,993",21.33,"132,967",12.41,6.36
69,KODEX 머니마켓액티브,"102,765","102,765",상승5,0.00%,0,"62,519","60,837",0.00,"262,652",N/A,N/A
70,KODEX 200,"34,530","34,530",상승265,+0.77%,0,"62,171","180,050",29.56,"1,672,272",N/A,N/A
71,두산,"358,000","358,000","상승13,000",+3.77%,"5,000","59,155","16,524",11.16,"150,650",-33.90,-14.57
72,S-Oil,"52,000","52,000",하락100,-0.19%,"2,500","58,543","112,583",73.75,"67,564",-31.40,-2.18
73,한진칼,"86,900","86,900","상승2,400",+2.84%,"2,500","58,016","66,762",21.80,"11,148",11.77,16.75
