N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
69,KODEX 머니마켓액티브,"102,765",상승5,0.00%,0,"62,519","60,837",0.00,"262,651",N/A,N/A
70,KODEX 200,"34,530",상승265,+0.77%,0,"62,171","180,050",29.56,"1,667,578",N/A,N/A
71,두산,"357,500","상승12,500",+3.62%,"5,000","59,073","16,524",11.16,"150,470",-33.85,-14.57
72,S-Oil,"51,900",하락200,-0.38%,"2,500","58,430","112,583",73.75,"67,161",-31.34,-2.18
73,한진칼,"86,900","상승2,400",+2.84%,"2,500","58,016","66,762",21.80,"11,130",11.77,16.75
74,LG유플러스,"13,000",상승130,+1.01%,"5,000","56,759","436,611",35.81,"944,005",15.15,4.40
75,한화솔루션,"32,800",상승150,+0.46%,"5,000","56,381","171,893",14.13,"1,958,905",-4.07,-15.99
76,맥쿼리인프라,"11,520",하락10,-0.09%,0,"55,172","478,922",9.19,"329,003",N/A,N/A
77,현대차2우B,"153,600","상승2,300",+1.52%,"5,000","54,926","35,759",59.24,"44,954",3.34,N/A
78,LG씨엔에스,"55,000",상승200,+0.36%,500,"53,287","96,886",1.18,"128,332",13.16,18.32
79,NH투자증권,"15,760",상승440,+2.87%,"5,000","51,613","327,492",16.76,"575,041",7.98,8.73
80,LG생활건강,"323,500","하락3,000",-0.92%,"5,000","50,525","15,618",28.35,"17,451",30.30,3.44
81,TIGER CD금리투자KIS(합성),"56,040",보합0,0.00%,0,"50,158","89,504",0.01,"78,488",N/A,N/A
82,한국타이어앤테크놀로지,"40,100","상승1,050",+2.69%,500,"49,674","123,875",36.78,"160,745",4.46,10.79
83,효성중공업,"532,000","상승14,000",+2.70%,"5,000","49,607","9,325",15.84,"30,049",22.28,14.90
84,오리온,"124,000","하락2,900",-2.29%,500,"49,025","39,536",29.23,"54,026",9.35,16.57
85,현대건설,"43,850","상승2,650",+6.43%,"5,000","48,830","111,356",21.18,"719,743",-29.23,-2.09
86,삼성증권,"54,400","상승1,400",+2.64%,"5,000","48,579","89,300",30.62,"240,498",5.40,12.89
87,한국금융지주,"87,000","상승2,800",+3.33%,"5,000","48,482","55,726",38.94,"162,295",5.15,11.54
88,삼성카드,"41,650",하락350,-0.83%,"5,000","48,255","115,859",6.49,"25,348",7.26,8.00
89,TIGER 미국나스닥100,"127,180","상승2,285",+1.83%,0,"47,883","37,650",0.13,"151,381",N/A,N/A
90,두산밥캣,"48,000",상승650,+1.37%,500,"46,011","95,856",35.31,"57,142",8.54,8.77
91,LS,"138,300","상승2,900",+2.14%,"5,000","44,533","32,200",14.16,"108,497",18.76,5.09
92,넷마블,"50,600",하락900,-1.75%,100,"43,492","85,954",24.99,"105,762",169.80,0.49
93,LG디스플레이,"8,630",상승180,+2.13%,"5,000","43,150","500,000",20.22,"500,306",-1.59,-37.21
94,KODEX 미국S&P500,"18,370",상승235,+1.30%,0,"42,481","231,250",0.11,"1,171,726",N/A,N/A
95,카카오페이,"29,400",보합0,0.00%,500,"39,596","134,680",37.58,"97,205",-288.24,-0.73
96,삼성E&A,"20,200",상승380,+1.92%,"5,000","39,592","196,000",43.76,"302,520",5.23,19.65
97,KODEX KOFR금리액티브(합성),"110,240",상승10,+0.01%,0,"38,483","34,908",0.00,"147,626",N/A,N/A
98,에이피알,"102,500",하락200,-0.19%,100,"38,419","37,482",21.22,"446,857",36.07,41.34
99,CJ,"130,300","상승1,900",+1.48%,"5,000","38,018","29,177",11.22,"77,224",46.25,1.83
100,한화,"49,950","하락2,050",-3.94%,"5,000","37,442","74,959",15.86,"217,329",6.31,7.19
101,CJ제일제당,"248,000","하락1,000",-0.40%,"5,000","37,334","15,054",22.19,"9,981",27.42,1.97
102,SKC,"98,200","상승1,800",+1.87%,"5,000","37,187","37,868",14.64,"64,203",-8.39,-34.34
103,에코프로머티,"52,900",상승900,+1.73%,500,"36,994","69,932",23.06,"147,574",-85.60,-5.56
104,GS,"39,250",상승500,+1.29%,"5,000","36,469","92,915",17.38,"89,711",6.55,4.12
105,현대차우,"152,600","상승2,200",+1.46%,"5,000","36,429","23,872",60.87,"33,867",3.31,N/A
106,포스코DX,"23,950",상승100,+0.42%,500,"36,412","152,035",2.88,"178,441",41.36,17.92
107,현대오토에버,"132,500","상승2,200",+1.69%,500,"36,337","27,424",1.90,"21,343",21.27,10.40
108,키움증권,"144,800","상승2,300",+1.61%,"5,000","35,442","24,477",26.25,"90,195",4.94,15.98
109,강원랜드,"16,550",상승40,+0.24%,500,"35,407","213,940",12.89,"125,318",7.75,12.09
110,LG이노텍,"148,100","상승9,600",+6.93%,"5,000","35,051","23,667",22.91,"148,731",7.80,8.92
111,한국가스공사,"37,900",상승100,+0.26%,"5,000","34,987","92,313",10.67,"118,077",3.05,11.21
112,한미약품,"269,000","하락2,500",-0.92%,"2,500","34,462","12,811",12.11,"69,623",28.41,11.89
113,JB금융지주,"17,530",상승230,+1.33%,"5,000","33,992","193,908",35.72,"168,533",5.05,12.80
114,현대제철,"25,100",상승550,+2.24%,"5,000","33,495","133,446",18.20,"160,428",-288.51,-0.06
115,BNK금융지주,"10,490",상승120,+1.16%,"5,000","33,398","318,384",40.89,"426,483",4.63,6.96
116,KODEX 종합채권(AA-이상)액티브,"119,160",하락40,-0.03%,0,"32,332","27,133",0.00,"29,335",N/A,N/A
117,시프트업,"54,800",하락500,-0.90%,200,"32,050","58,485",37.76,"63,552",20.17,31.30
118,두산로보틱스,"49,250","상승1,000",+2.07%,500,"31,924","64,820",1.94,"100,377",-87.32,-8.69
119,엔씨소프트,"147,400",하락700,-0.47%,500,"31,756","21,544",37.39,"26,227",34.35,2.99
120,SK바이오사이언스,"39,500",하락800,-1.99%,500,"30,956","78,369",6.61,"41,519",-56.59,-3.07
121,TIGER 미국테크TOP10 INDXX,"21,875",상승470,+2.20%,0,"30,570","139,750",0.52,"1,595,973",N/A,N/A
122,한화비전,"60,200","하락2,500",-3.99%,500,"30,394","50,488",18.86,"410,871",94.80,N/A
123,현대엘리베이터,"76,400",하락300,-0.39%,"5,000","29,867","39,092",28.43,"80,508",16.30,14.42
124,금호석유화학,"112,600","하락1,200",-1.05%,"5,000","29,793","26,460",17.37,"116,130",9.95,5.88
125,이수페타시스,"40,250",상승700,+1.77%,"1,000","29,547","73,409",13.95,"662,408",36.07,24.92
126,TIGER KOFR금리액티브(합성),"108,750",상승15,+0.01%,0,"29,012","26,678",0.00,"25,900",N/A,N/A
127,RISE 머니마켓액티브,"54,140",보합0,0.00%,0,"28,917","53,412",0.95,"115,634",N/A,N/A
128,롯데케미칼,"63,400","상승1,600",+2.59%,"5,000","27,120","42,775",20.50,"51,542",-1.59,-11.44
129,F&F,"69,300",상승900,+1.32%,100,"26,547","38,307",11.46,"10,838",7.37,25.27
130,동서,"26,000",하락200,-0.76%,500,"25,922","99,700",4.35,"23,393",16.49,9.52
131,KODEX 레버리지,"16,050",상승250,+1.58%,0,"25,624","159,650",0.47,"8,271,646",N/A,N/A
132,이마트,"92,300","하락1,200",-1.28%,"5,000","25,471","27,596",20.02,"112,024",-4.36,-5.40
133,롯데지주,"24,100",상승750,+3.21%,200,"25,283","104,909",7.40,"150,311",-2.50,-15.56
134,서울보증보험,"36,200",상승450,+1.26%,"2,500","25,275","69,822",0.72,"50,666",11.86,4.12
135,한화엔진,"30,050","하락1,300",-4.15%,"1,000","25,076","83,447",11.83,"1,098,593",30.98,25.64
136,농심,"411,500","하락12,500",-2.95%,"5,000","25,030","6,083",18.19,"14,769",15.91,6.17
137,에스원,"64,500",상승500,+0.78%,500,"24,509","37,999",56.09,"13,109",13.87,10.85
138,KODEX 미국나스닥100,"19,120",상승330,+1.76%,0,"24,378","127,500",0.06,"542,652",N/A,N/A
139,TIGER 200,"34,505",상승295,+0.86%,0,"23,964","69,450",9.35,"820,006",N/A,N/A
140,한전기술,"61,600",상승300,+0.49%,200,"23,544","38,220",9.65,"128,875",40.24,10.40
141,엘앤에프,"64,500","상승2,700",+4.37%,500,"23,424","36,316",16.10,"104,741",-6.19,-41.74
142,KCC,"263,000","상승1,000",+0.38%,"5,000","23,371","8,886",10.25,"6,968",7.53,6.08
143,TIGER 미국필라델피아반도체나스닥,"16,920",상승510,+3.11%,0,"23,163","136,900",0.28,"932,309",N/A,N/A
144,한화생명,"2,665",상승20,+0.76%,"5,000","23,146","868,530",10.05,"377,263",3.14,6.98
145,한온시스템,"3,390",상승55,+1.65%,100,"23,010","678,763",5.29,"410,212",-5.01,-13.90
146,KODEX 200TR,"12,300",상승85,+0.70%,0,"23,007","187,050",0.00,"140,488",N/A,N/A
147,미스토홀딩스,"37,675",상승225,+0.60%,"1,000","22,641","60,096",41.01,"45,629",26.95,4.30
148,대한전선,"11,940",상승200,+1.70%,"1,000","22,262","186,447",6.01,"356,068",29.19,5.85
149,KODEX CD1년금리플러스액티브(합성),"1,022,540",상승60,+0.01%,0,"22,062","2,158",0.00,"6,935",N/A,N/A
150,코스맥스,"193,500","하락2,000",-1.02%,500,"21,961","11,350",35.17,"34,696",25.60,20.53
151,롯데쇼핑,"77,500","상승5,400",+7.49%,"5,000","21,924","28,289",8.43,"142,641",-2.26,-7.75
152,SK가스,"231,000","하락1,500",-0.65%,"5,000","21,357","9,245",7.10,"12,238",11.92,6.74
153,제일기획,"18,310",하락50,-0.27%,200,"21,064","115,041",24.83,"55,339",10.15,15.12
154,영원무역,"46,650",보합0,0.00%,500,"20,671","44,311",29.12,"14,308",4.84,12.32
155,ACE 미국30년국채액티브(H),"7,715",하락20,-0.26%,0,"20,329","263,500",0.00,"1,261,945",N/A,N/A
156,한미사이언스,"29,400",하락150,-0.51%,500,"20,107","68,392",2.03,"53,179",34.07,7.30
157,ACE 미국S&P500,"20,180",상승255,+1.28%,0,"20,039","99,300",0.08,"232,433",N/A,N/A
158,TIGER 미국배당다우존스,"11,562",상승62,+0.54%,0,"19,840","171,600",0.01,"652,436",N/A,N/A
159,아시아나항공,"9,600",상승10,+0.10%,"5,000","19,775","205,991",2.62,"35,390",-1.88,-53.21
160,현대해상,"22,000",상승450,+2.09%,500,"19,668","89,400",36.57,"67,799",2.31,15.75
161,한국콜마,"82,500","하락1,100",-1.32%,500,"19,474","23,605",36.07,"150,975",21.54,12.50
162,CJ대한통운,"85,000",상승800,+0.95%,"5,000","19,390","22,812",14.07,"15,700",7.80,6.58
163,한전KPS,"43,050",상승650,+1.53%,200,"19,372","45,000",16.57,"58,507",11.23,13.26
164,TIGER MSCI Korea TR,"14,405",상승115,+0.80%,0,"19,058","132,300",0.00,"2,179",N/A,N/A
165,씨에스윈드,"43,900","상승1,150",+2.69%,500,"18,513","42,171",13.52,"334,732",13.01,13.92
166,팬오션,"3,460",상승85,+2.52%,"1,000","18,496","534,570",15.06,"701,321",6.89,5.17
167,산일전기,"60,400","상승2,500",+4.32%,500,"18,389","30,445",10.30,"273,400",18.79,29.88
168,아모레퍼시픽홀딩스,"23,050",하락500,-2.12%,500,"18,315","79,458",9.54,"63,267",8.78,7.57
169,KODEX 코스닥150레버리지,"6,830",하락60,-0.87%,0,"18,236","267,000",0.41,"17,087,562",N/A,N/A
170,더존비즈온,"59,700","하락1,100",-1.81%,500,"18,139","30,383",11.89,"90,951",31.98,12.17
171,iM금융지주,"10,500",상승110,+1.06%,"5,000","17,471","166,393",42.63,"174,262",8.27,3.60
172,BGF리테일,"100,850",하락650,-0.64%,"1,000","17,431","17,284",28.00,"22,395",8.93,17.29
173,신영증권,"105,900","상승7,500",+7.62%,"5,000","17,410","16,440",7.10,"32,647",14.19,9.27
174,DL이앤씨,"44,950","상승1,900",+4.41%,"5,000","17,393","38,694",33.53,"94,937",8.41,4.77
175,HL만도,"36,900",상승550,+1.51%,"1,000","17,327","46,957",27.60,"89,063",13.34,5.47
176,DB하이텍,"39,000",상승900,+2.36%,"5,000","17,315","44,399",25.93,"70,151",7.57,12.44
177,호텔신라,"44,050",상승600,+1.38%,"5,000","17,289","39,248",14.99,"59,944",-28.64,-6.50
178,TIGER 차이나전기차SOLACTIVE,"9,760",상승175,+1.83%,0,"17,103","175,240",0.08,"750,250",N/A,N/A
179,HD현대인프라코어,"8,840",상승380,+4.49%,"1,000","17,031","192,656",11.85,"1,197,737",16.07,5.92
180,풍산,"60,500","하락3,900",-6.06%,"5,000","16,955","28,024",19.50,"264,408",7.18,11.33
181,신세계,"173,000","상승10,100",+6.20%,"5,000","16,686","9,645",13.06,"100,408",15.80,2.54
182,동원산업,"41,950",하락800,-1.87%,"1,000","16,622","39,624",2.11,"17,439",24.22,2.74
183,SK아이이테크놀로지,"23,150",상승750,+3.35%,"1,000","16,505","71,298",6.10,"50,591",-6.69,-10.41
184,HDC현대산업개발,"25,000",상승200,+0.81%,"5,000","16,477","65,907",11.96,"229,398",10.58,5.09
185,TIGER 25-10 회사채(A+이상)액티브,"54,880",하락5,-0.01%,0,"16,163","29,452",0.14,"79,520",N/A,N/A
186,GS건설,"18,860",상승970,+5.42%,"5,000","16,141","85,581",23.58,"587,473",6.57,5.63
187,오뚜기,"398,000","하락4,500",-1.12%,"5,000","15,951","4,008",12.17,"1,663",11.67,6.86
188,코리안리,"8,110",상승10,+0.12%,500,"15,800","194,821",26.89,"236,003",4.99,9.45
189,에스엘,"33,500",상승300,+0.90%,500,"15,560","46,449",16.41,"61,653",4.22,17.42
190,대웅제약,"133,600","하락7,100",-5.05%,"2,500","15,480","11,587",8.75,"28,052",62.58,3.17
191,KODEX 단기채권PLUS,"114,450",상승10,+0.01%,0,"15,478","13,524",0.00,"19,238",N/A,N/A
192,대우건설,"3,675",상승200,+5.76%,"5,000","15,274","415,623",11.11,"1,470,761",6.53,5.62
193,현대백화점,"67,200","상승5,900",+9.62%,"5,000","15,207","22,629",22.42,"170,738",-43.55,-0.81
194,ACE 미국나스닥100,"21,860",상승385,+1.79%,0,"14,952","68,400",0.08,"228,213",N/A,N/A
195,한국앤컴퍼니,"15,400",상승400,+2.67%,500,"14,620","94,935",9.62,"33,279",4.17,8.28
196,RISE 종합채권(A-이상)액티브,"110,660",하락95,-0.09%,0,"14,421","13,032",0.00,"1,543",N/A,N/A
197,금호타이어,"4,820",상승90,+1.90%,"5,000","13,846","287,260",8.82,"113,945",4.26,21.77
198,일진전기,"28,950",상승200,+0.70%,"1,000","13,805","47,685",7.40,"440,057",29.18,10.60
199,녹십자,"117,500","하락1,500",-1.26%,"5,000","13,732","11,687",19.67,"12,221",-52.25,-2.06
200,SK리츠,"4,935",상승20,+0.41%,500,"13,630","276,189",7.91,"58,128","1,233.75",0.10
201,한올바이오파마,"25,950",하락500,-1.89%,500,"13,556","52,241",7.52,"108,952",-741.43,-1.02
202,영원무역홀딩스,"99,400",상승800,+0.81%,500,"13,554","13,636",20.27,"3,345",4.06,13.17
203,하이트진로,"19,270",하락20,-0.10%,"5,000","13,515","70,134",8.97,"26,580",14.33,8.63
204,HD현대마린엔진,"39,050","하락1,800",-4.41%,"2,500","13,246","33,921",13.09,"313,876",15.89,28.34
205,한솔케미칼,"114,600","상승2,500",+2.23%,"5,000","12,990","11,335",30.62,"28,732",10.59,13.48
206,OCI홀딩스,"68,400","상승1,400",+2.09%,"5,000","12,869","18,815",16.61,"107,127",13.67,2.54
207,메리츠 KIS CD금리투자 ETN,"53,810",하락5,-0.01%,0,"12,834","23,850",0.00,1,N/A,N/A
208,ACE KRX금현물,"20,820",하락295,-1.40%,0,"12,804","61,500",0.79,"759,274",N/A,N/A
209,이수스페셜티케미컬,"42,300",상승700,+1.68%,"1,000","12,778","30,208",5.52,"77,657",119.15,9.70
210,HD현대건설기계,"71,900","상승2,300",+3.30%,"5,000","12,736","17,714",16.23,"80,589",13.63,6.18
211,KODEX 코스닥150,"11,610",하락45,-0.39%,0,"12,475","107,450",0.97,"2,748,348",N/A,N/A
212,한일시멘트,"18,000",상승500,+2.86%,500,"12,467","69,262",4.59,"45,889",6.77,11.13
213,TIGER 미국30년국채커버드콜액티브(H),"8,070",하락25,-0.31%,0,"12,464","154,450",0.02,"735,143",N/A,N/A
214,오리온홀딩스,"19,530",보합0,0.00%,500,"12,235","62,645",11.42,"92,350",7.62,7.03
215,RISE 200,"34,750",상승270,+0.78%,0,"12,145","34,950",0.05,"111,448",N/A,N/A
216,코스모신소재,"37,350",상승600,+1.63%,"1,000","12,143","32,511",8.73,"85,110",68.78,3.62
217,DN오토모티브,"20,700",상승300,+1.47%,100,"12,112","58,511",5.24,"42,658",3.85,19.78
218,더블유게임즈,"56,300",하락800,-1.40%,500,"12,102","21,496",18.14,"25,068",6.47,18.69
219,TIGER 25-12 금융채(AA-이상),"51,110",상승5,+0.01%,0,"11,943","23,368",0.00,244,N/A,N/A
220,GS리테일,"14,210",상승160,+1.14%,"1,000","11,881","83,607",8.83,"80,567",568.40,0.07
221,현대위아,"43,500",상승300,+0.69%,"5,000","11,830","27,195",14.07,"47,427",9.82,3.45
222,롯데에너지머티리얼즈,"22,100",상승100,+0.45%,500,"11,573","52,365",7.47,"47,020",161.31,0.46
223,KODEX 200선물인버스2X,"2,100",하락25,-1.18%,0,"11,502","547,700",1.26,"46,424,263",N/A,N/A
224,ACE 테슬라밸류체인액티브,"14,005",상승890,+6.79%,0,"11,421","81,550",0.50,"2,093,167",N/A,N/A
225,대웅,"19,620",하락330,-1.65%,500,"11,407","58,142",5.28,"14,781",19.70,5.99
226,파라다이스,"12,430",하락50,-0.40%,500,"11,407","91,772",5.13,"63,825",15.10,4.97
227,에스디바이오센서,"9,350",상승20,+0.21%,500,"11,384","121,749",7.04,"17,783",-11.82,-3.43
228,롯데렌탈,"31,200",상승500,+1.63%,"5,000","11,329","36,309",6.47,"20,726",10.70,7.51
229,HDC,"18,910",하락190,-0.99%,"5,000","11,297","59,742",20.42,"81,067",7.72,5.65
230,SNT다이내믹스,"33,950","하락2,450",-6.73%,"2,500","11,289","33,253",8.50,"127,534",11.74,12.90
231,경동나비엔,"76,600",하락100,-0.13%,"1,000","11,160","14,569",10.22,"28,275",8.97,19.43
232,KODEX 삼성그룹,"8,155",상승25,+0.31%,0,"11,050","135,500",13.61,"68,368",N/A,N/A
233,롯데웰푸드,"116,800","상승2,000",+1.74%,500,"11,020","9,435",12.87,"6,461",13.02,4.04
234,종근당,"78,800",상승100,+0.13%,"2,500","10,877","13,803",15.06,"6,766",9.97,12.76
235,두산퓨얼셀,"16,380",상승370,+2.31%,100,"10,728","65,494",10.49,"137,800",-127.97,N/A
236,RISE CD금리액티브(합성),"103,790",보합0,0.00%,0,"10,712","10,321",0.00,978,N/A,N/A
237,롯데리츠,"3,630",상승30,+0.83%,500,"10,490","288,969",7.73,"102,026",88.54,0.95
238,다우기술,"23,300",상승650,+2.87%,500,"10,454","44,867",23.63,"128,997",2.94,13.16
239,LX인터내셔널,"26,950",상승100,+0.37%,"5,000","10,446","38,760",22.09,"37,777",5.95,7.12
240,가온전선,"63,000",하락900,-1.41%,"5,000","10,422","16,543",0.87,"42,445",19.42,6.46
241,한국카본,"19,980","하락1,070",-5.08%,500,"10,371","51,908",8.66,"304,311",51.10,4.38
242,LS에코에너지,"33,700",상승550,+1.66%,500,"10,321","30,625",3.95,"116,165",33.04,19.00
243,TIGER 차이나항셍테크,"8,220",상승190,+2.37%,0,"10,267","124,900",0.00,"2,151,857",N/A,N/A
244,TIGER CD1년금리액티브(합성),"1,043,735",상승90,+0.01%,0,"10,251",982,0.00,"6,554",N/A,N/A
245,효성티앤씨,"236,500",하락500,-0.21%,"5,000","10,235","4,328",17.85,"2,453",7.61,9.84
246,STX엔진,"25,200","하락1,100",-4.18%,"2,500","10,117","40,148",3.56,"310,380",25.61,10.15
247,한샘,"42,500",상승900,+2.16%,"1,000","10,002","23,534",13.85,"5,062",6.62,43.59
248,ESR켄달스퀘어리츠,"4,680",하락165,-3.41%,"1,000","9,973","213,089",42.50,"192,633",275.29,0.33
249,KODEX 25-12 은행채(AAA)액티브,"102,550",상승10,+0.01%,0,"9,905","9,659",0.00,110,N/A,N/A
250,하나 CD금리투자 ETN,"103,910",상승5,0.00%,0,"9,871","9,500",0.00,"34,861",N/A,N/A
