제목,개봉 날짜,평점
더 퍼스트 슬램덩크,2025.01.04.,9.25
해리 포터와 죽음의 성물 2,2025.01.15.,9.17
검은 수녀들,2025.01.24.,6.44
히트맨2,2025.01.22.,7.44
러브레터,2025.01.01.,9.32
마당을 나온 암탉,2025.01.22.,8.67
"색, 계",2025.01.01.,8.98
말할 수 없는 비밀,2025.01.27.,8.62
